CC	KO	n_changes	parameter	var_type	variable
-1.88237908231e-14	WT		ADH5	flux	PFK
0.062330205076	WT		CDC19	flux	PFK
0.00302514094934	WT		ENO1	flux	PFK
0.0140862919705	WT		ENO2	flux	PFK
0.106098979698	WT		FBA1	flux	PFK
0.00102156008751	WT		GLK1	flux	PFK
-1.88237908231e-14	WT		GPD1	flux	PFK
-1.88237908231e-14	WT		GPD2	flux	PFK
0.00286122991368	WT		GPM1	flux	PFK
-1.88237908231e-14	WT		HOR2	flux	PFK
0.0769775269351	WT		HXK1	flux	PFK
1.75090420444	WT		HXK2	flux	PFK
0.00134809332347	WT		PDC1	flux	PFK
1.50566534098e-05	WT		PDC5	flux	PFK
1.18523345199e-05	WT		PDC6	flux	PFK
-1.88237908231e-14	WT		PFK1	flux	PFK
0.366003387673	WT		PFK2	flux	PFK
0.0234570507107	WT		PGI1	flux	PFK
0.177842264183	WT		PGK1	flux	PFK
-1.88237908231e-14	WT		PGM1	flux	PFK
0.364529974896	WT		ADH1	flux	PGI
-6.27459694104e-15	WT		ADH5	flux	PGI
0.0648928071004	WT		CDC19	flux	PGI
0.00298169189369	WT		ENO1	flux	PGI
0.013262038546	WT		ENO2	flux	PGI
0.10540947263	WT		FBA1	flux	PGI
0.00102222021626	WT		GLK1	flux	PGI
-6.27459694104e-15	WT		GPD1	flux	PGI
-6.27459694104e-15	WT		GPD2	flux	PGI
0.00282521907912	WT		GPM1	flux	PGI
-6.27459694104e-15	WT		HOR2	flux	PGI
0.0764846304573	WT		HXK1	flux	PGI
1.75055021075	WT		HXK2	flux	PGI
0.00134806879993	WT		PDC1	flux	PGI
1.50555185234e-05	WT		PDC5	flux	PGI
1.1851627012e-05	WT		PDC6	flux	PGI
-6.27459694104e-15	WT		PFK1	flux	PGI
0.366256800812	WT		PFK2	flux	PGI
0.0156906449209	WT		PGI1	flux	PGI
0.176105318893	WT		PGK1	flux	PGI
-6.27459694104e-15	WT		PGM1	flux	PGI
0.378710157854	WT		ADH1	flux	PGK
-2.22772925685e-14	WT		ADH5	flux	PGK
0.0688466196674	WT		CDC19	flux	PGK
0.00301252472306	WT		ENO1	flux	PGK
0.0128193693107	WT		ENO2	flux	PGK
0.106847124732	WT		FBA1	flux	PGK
0.00104100375232	WT		GLK1	flux	PGK
-2.22772925685e-14	WT		GPD1	flux	PGK
-2.22772925685e-14	WT		GPD2	flux	PGK
0.0028592305139	WT		GPM1	flux	PGK
-2.22772925685e-14	WT		HOR2	flux	PGK
0.0771240348074	WT		HXK1	flux	PGK
1.78054005851	WT		HXK2	flux	PGK
0.00138032041127	WT		PDC1	flux	PGK
1.54147747823e-05	WT		PDC5	flux	PGK
1.21346167085e-05	WT		PDC6	flux	PGK
-2.22772925685e-14	WT		PFK1	flux	PGK
0.373147900371	WT		PFK2	flux	PGK
0.0248184533568	WT		PGI1	flux	PGK
0.180832230151	WT		PGK1	flux	PGK
-2.22772925685e-14	WT		PGM1	flux	PGK
0.273984739239	WT		ADH1	flux	PGM
-4.84933187957e-14	WT		ADH5	flux	PGM
0.0350226839261	WT		CDC19	flux	PGM
0.00163576131585	WT		ENO1	flux	PGM
0.00737935351546	WT		ENO2	flux	PGM
0.0394152035879	WT		FBA1	flux	PGM
